"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"62",111,6199,"마포구","111. 상수역 2번출구 앞",201902,444,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,44.4,619.9
"63",111,6199,"마포구","111. 상수역 2번출구 앞",201905,2334,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,233.4,619.9
"64",111,6199,"마포구","111. 상수역 2번출구 앞",201904,1596,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,159.6,619.9
"65",111,6199,"마포구","111. 상수역 2번출구 앞",201812,408,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,40.8,619.9
"66",111,6199,"마포구","111. 상수역 2번출구 앞",201901,391,"서울특별시 마포구 와우산로 40",37.547871,126.923531,"42254.062928240739",10,1,39.1,619.9
"67",112,6191,"마포구","112. 극동방송국 앞",201903,954,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,95.4,619.1
"68",112,6191,"마포구","112. 극동방송국 앞",201905,2290,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,229,619.1
"69",112,6191,"마포구","112. 극동방송국 앞",201901,399,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,39.9,619.1
"70",112,6191,"마포구","112. 극동방송국 앞",201904,1588,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,158.8,619.1
"71",112,6191,"마포구","112. 극동방송국 앞",201812,571,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,57.1,619.1
"72",112,6191,"마포구","112. 극동방송국 앞",201902,389,"서울특별시 마포구 와우산로 56",37.549202,126.923203,"42254.063680555555",10,1,38.9,619.1
"73",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201901,2313,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,92.5,1008.9
"74",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201812,2638,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,105.5,1008.9
"75",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201903,4414,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,176.6,1008.9
"76",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201904,5407,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,216.3,1008.9
"77",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201902,2072,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,82.9,1008.9
"78",113,25222,"마포구","113. 홍대입구역 2번출구 앞",201905,8378,"서울특별시 마포구 양화로 165",37.557499,126.923805,"42254.064560185187",25,1,335.1,1008.9
"79",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201812,1070,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,71.3,751.1
"80",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201901,966,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,64.4,751.1
"81",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201903,1719,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,114.6,751.1
"82",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201902,868,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,57.9,751.1
"83",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201905,4004,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,266.9,751.1
"84",114,11267,"마포구","114. 홍대입구역 8번출구 앞",201904,2640,"서울특별시 마포구 양화로18길 3",37.55706,126.924423,"42254.065185185187",15,1,176,751.1
"85",115,6397,"서대문구","115. 사루비아 빌딩 앞",201903,991,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,66.1,426.5
"86",115,6397,"서대문구","115. 사루비아 빌딩 앞",201904,1493,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,99.5,426.5
"87",115,6397,"서대문구","115. 사루비아 빌딩 앞",201902,553,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,36.9,426.5
"88",115,6397,"서대문구","115. 사루비아 빌딩 앞",201901,637,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,42.5,426.5
"89",115,6397,"서대문구","115. 사루비아 빌딩 앞",201812,705,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,47,426.5
"90",115,6397,"서대문구","115. 사루비아 빌딩 앞",201905,2018,"서울특별시 서대문구 연희로 6",37.558933,126.927116,"42254.061655092592",15,1,134.5,426.5
"91",116,6683,"서대문구","116. 일진아이윌아파트 옆",201902,570,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,114,1336.6
"92",116,6683,"서대문구","116. 일진아이윌아파트 옆",201901,712,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,142.4,1336.6
"93",116,6683,"서대문구","116. 일진아이윌아파트 옆",201812,756,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,151.2,1336.6
"94",116,6683,"서대문구","116. 일진아이윌아파트 옆",201905,2164,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,432.8,1336.6
"95",116,6683,"서대문구","116. 일진아이윌아파트 옆",201903,1109,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,221.8,1336.6
"96",116,6683,"서대문구","116. 일진아이윌아파트 옆",201904,1372,"서울특별시 서대문구 동교로 290",37.564541,126.927071,"42254.062789351854",5,1,274.4,1336.6
"97",117,5059,"서대문구","117. 홍은사거리",201905,3227,"서울특별시 서대문구 통일로 483",37.59116,126.94133,"42254.064120370371",25,1,129.1,202.4
"98",117,5059,"서대문구","117. 홍은사거리",201903,40,"서울특별시 서대문구 통일로 483",37.59116,126.94133,"42254.064120370371",25,1,1.6,202.4
